Dataset;Config;Local;Sorted;Threads;Granularity;Time;TimePrepare;TimeComplete;TimeAnonymize;TimeGlobalTransform;TimePartitionByClass;TimeSuppress;TimeQuality;TimePostprocess
adult;5-anonymity;false;true;1;0.751394968;4046;70.33333333;3962;3670.333333;200.3333333;0;0;13.66666667;0
adult;5-anonymity;true;true;1;0.919444023;1781;70.33333333;1693.333333;1602;0;0;0;17.33333333;0
adult;5-anonymity;false;true;2;0.745059974;2781;70;2696.333333;2403;201;0;0;14.66666667;0
adult;5-anonymity;true;true;2;0.91779559;1280;70.33333333;1193;1101.666667;0;0;0;16.66666667;0
adult;5-anonymity;false;true;3;0.747578729;2380.666667;70.66666667;2295.666667;2002.666667;201.3333333;0;0;14.33333333;0
adult;5-anonymity;true;true;3;0.917721184;979.3333333;70;892.6666667;801.6666667;0;0;0;16.66666667;0
adult;5-anonymity;false;true;4;0.735343109;1782.333333;71;1696.666667;1402.666667;201.3333333;0;0;14.66666667;0
adult;5-anonymity;true;true;4;0.913586599;880;70.66666667;792.6666667;701.3333333;0;0;0;16.66666667;0
adult;5-anonymity;false;true;5;0.729010751;1881.666667;70.66666667;1796.666667;1502.333333;202;0;0;14.33333333;0
adult;5-anonymity;true;true;5;0.909952818;981.3333333;71;894;801.6666667;0;0;0;16.33333333;0
adult;5-anonymity;false;true;6;0.728378045;1782.333333;71;1697;1402.666667;202;0;0;14.33333333;0
adult;5-anonymity;true;true;6;0.908759138;985;71.33333333;897;802.3333333;0;0;0;16.66666667;0
adult;5-anonymity;false;true;7;0.720530443;1582.333333;71;1497.333333;1202.666667;202.3333333;0;0;14;0
adult;5-anonymity;true;true;7;0.90617655;882.3333333;71.33333333;794;701.6666667;0;0;0;17;0
adult;5-anonymity;false;true;8;0.714081341;1483.333333;71.33333333;1398;1103;202;0;0;14;0
adult;5-anonymity;true;true;8;0.906634819;882.6666667;71.33333333;794.6666667;702;0;0;0;16.66666667;0
adult;5-anonymity;false;true;9;0.707104674;1548.666667;71;1464;1169.666667;202.3333333;0;0;13.66666667;0
adult;5-anonymity;true;true;9;0.903715107;847;70.66666667;760.3333333;669;0;0;0;16;0
adult;5-anonymity;false;true;10;0.711875091;1281.666667;70.66666667;1197;903;202;0;0;14;0
adult;5-anonymity;true;true;10;0.90500161;781.6666667;70.66666667;695;602;0;0;0;16;0
adult;5-anonymity;false;true;11;0.699451638;1281.333333;70.33333333;1197.333333;903.3333333;202.3333333;0;0;13.66666667;0
adult;5-anonymity;true;true;11;0.900154932;781;71;694;602.3333333;0;0;0;16;0
adult;5-anonymity;false;true;12;0.694115285;1383;71;1298.666667;1003.666667;202.6666667;0;0;13.33333333;0
adult;5-anonymity;true;true;12;0.898246171;780.6666667;70.66666667;693.6666667;602.3333333;0;0;0;16.33333333;0
adult;5-anonymity;false;true;13;0.691452222;1215.333333;70.66666667;1131;836;202.3333333;0;0;13.66666667;0
adult;5-anonymity;true;true;13;0.8983528;780;70.33333333;693;602.3333333;0;0;0;16.66666667;0
adult;5-anonymity;false;true;14;0.691565083;1187.666667;72.66666667;1101;803;203;0;0;14;0
adult;5-anonymity;true;true;14;0.8967328;713.6666667;70.33333333;627;535.6666667;0;0;0;16.33333333;0
adult;5-anonymity;false;true;15;0.69332447;1183.333333;70.66666667;1099.666667;804;203.3333333;0;0;13;0
adult;5-anonymity;true;true;15;0.896694703;781.3333333;70.66666667;694.3333333;602.6666667;0;0;0;16.33333333;0
adult;5-anonymity;false;true;16;0.682028258;1216.333333;70.66666667;1131.666667;836.3333333;203.6666667;0;0;14;0
adult;5-anonymity;true;true;16;0.893356796;782.6666667;70.66666667;696;603;0;0;0;16;0
adult;5-anonymity;false;true;17;0.678750366;1117;70.33333333;1032.666667;736.3333333;203.6666667;0;0;14;0
adult;5-anonymity;true;true;17;0.891952123;682;70.66666667;595;502.3333333;0;0;0;16.33333333;0
adult;5-anonymity;false;true;18;0.680797429;1183.333333;70.66666667;1099.333333;803.6666667;203.3333333;0;0;13.33333333;0
adult;5-anonymity;true;true;18;0.889981874;781.3333333;70;695;603.3333333;0;0;0;16.33333333;0
adult;5-anonymity;false;true;19;0.679369033;1085;71;1000.333333;703;203.3333333;0;0;13.66666667;0
adult;5-anonymity;true;true;19;0.889340078;784.6666667;72;696;603;0;0;0;16.66666667;0
adult;5-anonymity;false;true;20;0.675964197;1118;70.66666667;1033;737;203.3333333;0;0;14.33333333;0
adult;5-anonymity;true;true;20;0.889167075;683;71;596;503.6666667;0;0;0;16;0
adult;5-anonymity;false;true;21;0.672761867;1084.333333;71;999.6666667;703.3333333;203.6666667;0;0;13.66666667;0
adult;5-anonymity;true;true;21;0.887321874;782.6666667;71;695.6666667;603.3333333;0;0;0;16;0
adult;5-anonymity;false;true;22;0.66661173;1084.333333;71;999.6666667;703.6666667;203.6666667;0;0;13.66666667;0
adult;5-anonymity;true;true;22;0.885947684;681.3333333;70.33333333;595;503.6666667;0;0;0;16;0
adult;5-anonymity;false;true;23;0.672675433;984.6666667;70.66666667;900;604;203.6666667;0;0;14;0
adult;5-anonymity;true;true;23;0.885594587;687;71.33333333;599.3333333;503.6666667;0;0;0;16.33333333;0
adult;5-anonymity;false;true;24;0.665603968;1088.666667;71;1004;704.3333333;204;0;0;13.66666667;0
adult;5-anonymity;true;true;24;0.886078368;683.3333333;70.66666667;596.3333333;504.3333333;0;0;0;16.33333333;0
adult;5-anonymity;false;true;25;0.646630559;988.6666667;71.66666667;902.3333333;605.3333333;203.6666667;0;0;14.33333333;0.333333333
adult;5-anonymity;true;true;25;0.883910009;681.3333333;70.33333333;595;504;0;0;0;16;0
adult;5-anonymity;false;true;26;0.660870995;984.6666667;71;900.3333333;604;203.6666667;0;0;13.33333333;0
adult;5-anonymity;true;true;26;0.881682372;684.3333333;71.33333333;596.6666667;503.3333333;0;0;0;16.33333333;0
adult;5-anonymity;false;true;27;0.641925278;985.6666667;70.66666667;901;604;204.6666667;0;0;14;0
adult;5-anonymity;true;true;27;0.880635248;682;70.33333333;595.6666667;504;0;0;0;16;0
adult;5-anonymity;false;true;28;0.641767852;986;71;900.3333333;603.6666667;204;0;0;14.66666667;0
adult;5-anonymity;true;true;28;0.879860836;686;71;598.3333333;504.3333333;0;0;0;16.66666667;0
adult;5-anonymity;false;true;29;0.662113247;987;71.33333333;901.3333333;604;204.6666667;0;0;14.33333333;0
adult;5-anonymity;true;true;29;0.87854136;684.6666667;71.33333333;596.3333333;503.6666667;0;0;0;17;0
adult;5-anonymity;false;true;30;0.660975326;988;70.66666667;903.3333333;606.3333333;204.6666667;0;0;14;0
adult;5-anonymity;true;true;30;0.87785291;689.3333333;72.66666667;600.6666667;506;0;0;0;16;0
adult;5-anonymity;false;true;31;0.640719222;991.6666667;72;905.6666667;607.3333333;204.6666667;0;0;14;0
adult;5-anonymity;true;true;31;0.876932182;715.6666667;70.66666667;628.6666667;537.3333333;0;0;0;16.33333333;0
adult;5-anonymity;false;true;32;0.638685785;986.3333333;70.66666667;901.3333333;604.3333333;204.6666667;0;0;14.33333333;0
adult;5-anonymity;true;true;32;0.874172758;683.3333333;71;596.3333333;504.3333333;0;0;0;16;0
adult;5-anonymity;false;true;33;0.659105665;1022;70;937.3333333;640.3333333;205;0;0;14.66666667;0
adult;5-anonymity;true;true;33;0.874818199;685;71;597.6666667;505.6666667;0;0;0;16.33333333;0
adult;5-anonymity;false;true;34;0.637404799;1019.666667;70.33333333;935;638.3333333;204.6666667;0;0;14.33333333;0
adult;5-anonymity;true;true;34;0.874289705;682.6666667;70.66666667;595.6666667;504.6666667;0;0;0;16;0.333333333
adult;5-anonymity;false;true;35;0.653621249;990.6666667;70.66666667;906;608.6666667;204.6666667;0;0;14;0
adult;5-anonymity;true;true;35;0.871958286;683.6666667;71;596;504.3333333;0;0;0;16.66666667;0
adult;5-anonymity;false;true;36;0.635106833;990.6666667;71;905;607;205;0;0;14.33333333;0.333333333
adult;5-anonymity;true;true;36;0.871393147;683;70.33333333;596.6666667;505;0;0;0;16;0
adult;5-anonymity;false;true;37;0.637930694;988.3333333;70.33333333;903.6666667;605.3333333;205.6666667;0;0;14.33333333;0
adult;5-anonymity;true;true;37;0.871690003;750.6666667;71;663.3333333;571.6666667;0;0;0;16.33333333;0
adult;5-anonymity;false;true;38;0.65015458;987.6666667;70.66666667;903;605.3333333;205;0;0;14;0
adult;5-anonymity;true;true;38;0.869372743;751;70.66666667;664;572.6666667;0;0;0;16.33333333;0
adult;5-anonymity;false;true;39;0.632625338;987;70.66666667;902.3333333;605.3333333;205;0;0;14;0
adult;5-anonymity;true;true;39;0.870042759;717.6666667;70.33333333;630.6666667;539.3333333;0;0;0;16.66666667;0
adult;5-anonymity;false;true;40;0.631126676;990;71;904.6666667;607.6666667;205;0;0;14.33333333;0
adult;5-anonymity;true;true;40;0.869000519;784;70.66666667;696.6666667;605.3333333;0;0;0;16.66666667;0
adult;5-anonymity;false;true;41;0.646665721;987.3333333;70.66666667;902.6666667;605.6666667;205;0;0;14;0
adult;5-anonymity;true;true;41;0.867002482;755.3333333;71.66666667;666.6666667;573.6666667;0;0;0;17;0
adult;5-anonymity;false;true;42;0.628765838;989;70.66666667;904;606.6666667;205;0;0;14.33333333;0
adult;5-anonymity;true;true;42;0.867011096;786.6666667;71.33333333;699;606.3333333;0;0;0;16.33333333;0
adult;5-anonymity;false;true;43;0.628707883;992;71;907;609;205.6666667;0;0;14;0
adult;5-anonymity;true;true;43;0.865832647;722;71;634;540.6666667;0;0;0;17;0
adult;5-anonymity;false;true;44;0.629597674;989.6666667;70.66666667;904.3333333;606.3333333;205.6666667;0;0;14.66666667;0
adult;5-anonymity;true;true;44;0.865046025;786.3333333;70.66666667;699.3333333;606.6666667;0;0;0;16.33333333;0
adult;5-anonymity;false;true;45;0.626987283;989.6666667;70.66666667;905;606.6666667;206;0;0;14;0
adult;5-anonymity;true;true;45;0.86503775;720;71.66666667;631.6666667;539.6666667;0;0;0;16.66666667;0
adult;5-anonymity;false;true;46;0.628280198;990;70.66666667;905;608;205.3333333;0;0;14.33333333;0
adult;5-anonymity;true;true;46;0.863975919;752.3333333;70.66666667;665;573.6666667;0;0;0;16.66666667;0
adult;5-anonymity;false;true;47;0.626716184;992.3333333;70.66666667;907.6666667;609.3333333;206.3333333;0;0;14;0
adult;5-anonymity;true;true;47;0.86215678;722.3333333;71;634.6666667;542.3333333;0;0;0;16.66666667;0
adult;5-anonymity;false;true;48;0.628106432;991.6666667;70.66666667;907;606.6666667;207.6666667;0;0;14;0
adult;5-anonymity;true;true;48;0.862184788;755.6666667;71;668.3333333;575.3333333;0;0;0;16.33333333;0
adult;5-anonymity;false;true;49;0.626952022;992.3333333;71;907.3333333;608.6666667;206.3333333;0;0;14;0
adult;5-anonymity;true;true;49;0.862271858;786.3333333;70.66666667;699.3333333;608.3333333;0;0;0;16.33333333;0
adult;5-anonymity;false;true;50;0.625709241;990.6666667;71;906;606.6666667;207;0;0;13.66666667;0
adult;5-anonymity;true;true;50;0.860576161;789;71.66666667;701.3333333;608.6666667;0;0;0;16;0
adult;5-anonymity;false;true;51;0.625151859;992;71;907;607.3333333;206.6666667;0;0;14;0
adult;5-anonymity;true;true;51;0.85968365;789.6666667;71.33333333;702;609.3333333;0;0;0;16.33333333;0
adult;5-anonymity;false;true;52;0.623370684;992.3333333;71.33333333;906.3333333;607.6666667;206;0;0;14.66666667;0
adult;5-anonymity;true;true;52;0.85898796;753;70.66666667;666;574.6666667;0;0;0;16.33333333;0
adult;5-anonymity;false;true;53;0.621636667;990.3333333;70.33333333;905.6666667;607.3333333;206;0;0;14.33333333;0
adult;5-anonymity;true;true;53;0.857630564;788;71;700.6666667;609;0;0;0;16.33333333;0
adult;5-anonymity;false;true;54;0.62403708;991;71;905.6666667;607;206.6666667;0;0;14.33333333;0
adult;5-anonymity;true;true;54;0.858673353;785.6666667;70.33333333;699;608;0;0;0;16.33333333;0
adult;5-anonymity;false;true;55;0.622456246;992.3333333;70.33333333;907.6666667;609.3333333;206.6666667;0;0;14.33333333;0
adult;5-anonymity;true;true;55;0.856909892;755.6666667;71.33333333;668;575.6666667;0;0;0;16.33333333;0
adult;5-anonymity;false;true;56;0.619414944;992.6666667;71;907.6666667;609.3333333;206;0;0;14;0
adult;5-anonymity;true;true;56;0.856869894;754.6666667;71.66666667;666.6666667;575;0;0;0;16.33333333;0
adult;5-anonymity;false;true;57;0.618984286;996.6666667;72.33333333;910.3333333;610.3333333;206.6666667;0;0;14;0
adult;5-anonymity;true;true;57;0.855151365;789;70.66666667;702.3333333;610.6666667;0;0;0;16;0
adult;5-anonymity;false;true;58;0.630513268;992.3333333;70;909;610.6666667;207;0;0;13.33333333;0
adult;5-anonymity;true;true;58;0.855599157;787.3333333;70.33333333;700.6666667;609.6666667;0;0;0;16.33333333;0
adult;5-anonymity;false;true;59;0.622161645;996;70.66666667;911.3333333;612.3333333;207;0;0;14;0
adult;5-anonymity;true;true;59;0.856084915;790;70.33333333;703.6666667;611.3333333;0;0;0;16;0
adult;5-anonymity;false;true;60;0.617994935;992.6666667;70.66666667;908;608.6666667;207.3333333;0;0;14;0
adult;5-anonymity;true;true;60;0.853366447;755.6666667;71.33333333;667.6666667;575.3333333;0;0;0;16.66666667;0
adult;5-anonymity;false;true;61;0.616874367;992.3333333;70.66666667;907.3333333;608.6666667;207;0;0;14;0.333333333
adult;5-anonymity;true;true;61;0.853830712;788.6666667;70.66666667;701.6666667;610;0;0;0;16.33333333;0
adult;5-anonymity;false;true;62;0.618935648;993;71;908;608.6666667;207;0;0;14;0
adult;5-anonymity;true;true;62;0.853834962;762;71.66666667;674;581.6666667;0;0;0;16.33333333;0
adult;5-anonymity;false;true;63;0.617980959;998.6666667;71;913.6666667;613;208;0;0;14;0
adult;5-anonymity;true;true;63;0.853661809;805;71.33333333;717;623.6666667;0;0;0;16.66666667;0
adult;5-anonymity;false;true;64;0.618860128;996;71;910.6666667;610.6666667;207.6666667;0;0;14.33333333;0
adult;5-anonymity;true;true;64;0.853140599;797;70.66666667;710;618;0;0;0;16.33333333;0
adult;11-anonymity;false;true;1;0.751394968;4280.333333;70.66666667;4195.333333;3903;201;0;0;14.33333333;0
adult;11-anonymity;true;true;1;0.919444023;1778.666667;70;1692.333333;1601.666667;0;0;0;16.33333333;0
adult;11-anonymity;false;true;2;0.745059974;2678;70;2594;2302;201;0;0;14;0
adult;11-anonymity;true;true;2;0.91779559;1278.666667;70;1192.333333;1101.666667;0;0;0;16.33333333;0
adult;11-anonymity;false;true;3;0.747578729;2178.666667;70.66666667;2094;1802;200.6666667;0;0;14;0
adult;11-anonymity;true;true;3;0.917721184;980.6666667;71.33333333;893;801;0;0;0;16.33333333;0
adult;11-anonymity;false;true;4;0.735343109;1779;70.33333333;1694.666667;1401.666667;201.3333333;0;0;14;0
adult;11-anonymity;true;true;4;0.913586599;879;70.33333333;792.3333333;701.3333333;0;0;0;16.33333333;0
adult;11-anonymity;false;true;5;0.729010751;1778.333333;70.33333333;1694;1401.666667;201.6666667;0;0;14;0
adult;11-anonymity;true;true;5;0.909952818;978.3333333;70;892;801.3333333;0;0;0;16.33333333;0
adult;11-anonymity;false;true;6;0.728378045;1779;70;1695;1402;201.6666667;0;0;14;0
adult;11-anonymity;true;true;6;0.908759138;978.6666667;70;892.3333333;801.6666667;0;0;0;16.33333333;0
adult;11-anonymity;false;true;7;0.720530443;1580;70.66666667;1495.333333;1202;201.6666667;0;0;14;0
adult;11-anonymity;true;true;7;0.90617655;879;70.33333333;792.3333333;701;0;0;0;16.33333333;0
adult;11-anonymity;false;true;8;0.714081341;1481.666667;70;1398;1104.666667;202.3333333;0;0;13.66666667;0
adult;11-anonymity;true;true;8;0.906634819;879.3333333;70;793;702;0;0;0;16;0.333333333
adult;11-anonymity;false;true;9;0.707104674;1480.666667;70.33333333;1397;1103;202;0;0;13.33333333;0
adult;11-anonymity;true;true;9;0.903715107;880;70.33333333;793;701.6666667;0;0;0;16.33333333;0.333333333
adult;11-anonymity;false;true;10;0.711875091;1280.333333;70.66666667;1195.666667;902.3333333;202;0;0;14;0
adult;11-anonymity;true;true;10;0.90500161;779.6666667;70.66666667;693;602;0;0;0;16;0
adult;11-anonymity;false;true;11;0.699451638;1282;70.33333333;1197.666667;904.3333333;202;0;0;14;0
adult;11-anonymity;true;true;11;0.900154932;778.6666667;70;692.6666667;602.3333333;0;0;0;16;0
adult;11-anonymity;false;true;12;0.694115285;1313.333333;70.33333333;1229.666667;935.6666667;203;0;0;13.33333333;0
adult;11-anonymity;true;true;12;0.898246171;778.6666667;70;692.6666667;602.3333333;0;0;0;16;0
adult;11-anonymity;false;true;13;0.691452222;1179.333333;70;1096;803;202.6666667;0;0;13.33333333;0
adult;11-anonymity;true;true;13;0.8983528;782.3333333;71.33333333;694.6666667;602.6666667;0;0;0;16.33333333;0
adult;11-anonymity;false;true;14;0.691565083;1181.333333;70.33333333;1097.333333;802.3333333;203;0;0;13.66666667;0
adult;11-anonymity;true;true;14;0.8967328;680.3333333;70.66666667;593.6666667;502;0;0;0;16;0
adult;11-anonymity;false;true;15;0.69332447;1180.333333;70.33333333;1096.333333;803;202;0;0;13.66666667;0
adult;11-anonymity;true;true;15;0.896694703;780.3333333;70.66666667;693.3333333;602.3333333;0;0;0;16.33333333;0
adult;11-anonymity;false;true;16;0.682028258;1181;70;1097;803;203;0;0;14;0
adult;11-anonymity;true;true;16;0.893356796;781.6666667;71;694.3333333;602.6666667;0;0;0;16.33333333;0
adult;11-anonymity;false;true;17;0.678750366;1115;70.33333333;1030.666667;736.3333333;203;0;0;14;0
adult;11-anonymity;true;true;17;0.891952123;682.6666667;71;595;502.6666667;0;0;0;16.66666667;0
adult;11-anonymity;false;true;18;0.680797429;1147;70.33333333;1063.666667;769.6666667;203;0;0;13;0
adult;11-anonymity;true;true;18;0.889981874;781.3333333;70.66666667;694.3333333;603.3333333;0;0;0;16.33333333;0
adult;11-anonymity;false;true;19;0.679369033;1081.333333;70.66666667;997.3333333;703.3333333;203;0;0;13.33333333;0
adult;11-anonymity;true;true;19;0.889340078;781.3333333;70.33333333;694.6666667;603.3333333;0;0;0;16.33333333;0
adult;11-anonymity;false;true;20;0.675964197;1086.333333;70.33333333;1001.333333;706;203.3333333;0;0;14.66666667;0
adult;11-anonymity;true;true;20;0.889167075;680.3333333;70.33333333;593.6666667;503;0;0;0;16.33333333;0
adult;11-anonymity;false;true;21;0.672761867;1084.333333;70.66666667;1000.666667;705.3333333;203.6666667;0;0;13;0
adult;11-anonymity;true;true;21;0.887321874;783.6666667;71;696.6666667;604.3333333;0;0;0;16;0
adult;11-anonymity;false;true;22;0.66661173;1084;70.33333333;1000;703.6666667;204.3333333;0;0;13.66666667;0
adult;11-anonymity;true;true;22;0.885947684;682.6666667;71.33333333;595;503.3333333;0;0;0;16.33333333;0
adult;11-anonymity;false;true;23;0.672675433;983.6666667;70.66666667;898.6666667;603.3333333;203.6666667;0;0;14.33333333;0
adult;11-anonymity;true;true;23;0.885594587;681.6666667;71;594.6666667;503.3333333;0;0;0;16;0
adult;11-anonymity;false;true;24;0.665603968;1083.666667;70;1000;703.6666667;205.3333333;0;0;13.66666667;0
