Dataset;Config;Local;Sorted;Threads;Granularity;Memory;Measurements
adult;5-anonymity;false;true;1;0.751394968;49010192;20
adult;5-anonymity;true;true;1;0.919444023;48172744;19
adult;5-anonymity;false;true;2;0.745059974;51806360;23
adult;5-anonymity;true;true;2;0.91779559;48321456;24
adult;5-anonymity;false;true;3;0.747578729;53277888;24
adult;5-anonymity;true;true;3;0.917721184;50067448;22
adult;5-anonymity;false;true;4;0.735343109;59319240;25
adult;5-anonymity;true;true;4;0.913586599;52965352;21
adult;5-anonymity;false;true;5;0.729010751;63126720;24
adult;5-anonymity;true;true;5;0.909952818;55178824;23
adult;5-anonymity;false;true;6;0.728378045;63318168;24
adult;5-anonymity;true;true;6;0.908759138;54012896;22
adult;5-anonymity;false;true;7;0.720530443;71684272;23
adult;5-anonymity;true;true;7;0.90617655;54585304;23
adult;5-anonymity;false;true;8;0.714081341;70856048;24
adult;5-anonymity;true;true;8;0.906634819;55333304;22
adult;5-anonymity;false;true;9;0.707104674;72213592;23
adult;5-anonymity;true;true;9;0.903715107;55727920;22
adult;5-anonymity;false;true;10;0.711875091;77715120;23
adult;5-anonymity;true;true;10;0.90500161;57857048;23
adult;5-anonymity;false;true;11;0.699451638;78461264;23
adult;5-anonymity;true;true;11;0.900154932;56997176;25
adult;5-anonymity;false;true;12;0.694115285;82227536;20
adult;5-anonymity;true;true;12;0.898246171;57392832;21
adult;5-anonymity;false;true;13;0.691452222;84821728;24
adult;5-anonymity;true;true;13;0.8983528;59949728;25
adult;5-anonymity;false;true;14;0.691565083;94633512;24
adult;5-anonymity;true;true;14;0.8967328;59700856;23
adult;5-anonymity;false;true;15;0.69332447;96251376;22
adult;5-anonymity;true;true;15;0.896694703;60775288;25
adult;5-anonymity;false;true;16;0.682028258;99323648;22
adult;5-anonymity;true;true;16;0.893356796;61300360;24
adult;5-anonymity;false;true;17;0.678750366;106512760;25
adult;5-anonymity;true;true;17;0.891952123;61779704;23
adult;5-anonymity;false;true;18;0.680797429;101889048;23
adult;5-anonymity;true;true;18;0.889981874;62713488;24
adult;5-anonymity;false;true;19;0.679369033;109769176;19
adult;5-anonymity;true;true;19;0.889340078;63276400;26
adult;5-anonymity;false;true;20;0.675964197;117257424;22
adult;5-anonymity;true;true;20;0.889167075;63839216;28
adult;5-anonymity;false;true;21;0.672761867;115196672;23
adult;5-anonymity;true;true;21;0.887321874;63383592;23
adult;5-anonymity;false;true;22;0.66661173;125608520;27
adult;5-anonymity;true;true;22;0.885947684;66023288;26
adult;5-anonymity;false;true;23;0.672675433;133724240;17
adult;5-anonymity;true;true;23;0.885594587;66858056;26
adult;5-anonymity;false;true;24;0.665603968;127351264;23
adult;5-anonymity;true;true;24;0.886078368;67533360;23
adult;5-anonymity;false;true;25;0.646630559;135182976;24
adult;5-anonymity;true;true;25;0.883910009;67064464;22
adult;5-anonymity;false;true;26;0.660870995;140517072;24
adult;5-anonymity;true;true;26;0.881682372;68090352;31
adult;5-anonymity;false;true;27;0.641925278;142791640;27
adult;5-anonymity;true;true;27;0.880635248;70506712;23
adult;5-anonymity;false;true;28;0.641767852;142790296;23
adult;5-anonymity;true;true;28;0.879860836;68069920;28
adult;5-anonymity;false;true;29;0.662113247;148923320;23
adult;5-anonymity;true;true;29;0.87854136;70788592;26
adult;5-anonymity;false;true;30;0.660975326;151680264;24
adult;5-anonymity;true;true;30;0.87785291;69396728;23
adult;5-anonymity;false;true;31;0.640719222;152136512;21
adult;5-anonymity;true;true;31;0.876932182;71567832;22
adult;5-anonymity;false;true;32;0.638685785;168028256;18
adult;5-anonymity;true;true;32;0.874172758;72369752;24
adult;5-anonymity;false;true;33;0.659105665;166551496;25
adult;5-anonymity;true;true;33;0.874818199;71210648;26
adult;5-anonymity;false;true;34;0.637404799;166802896;26
adult;5-anonymity;true;true;34;0.874289705;71790552;24
adult;5-anonymity;false;true;35;0.653621249;170708240;22
adult;5-anonymity;true;true;35;0.871958286;74737640;24
adult;5-anonymity;false;true;36;0.635106833;177772352;25
adult;5-anonymity;true;true;36;0.871393147;74401144;23
adult;5-anonymity;false;true;37;0.637930694;167635936;22
adult;5-anonymity;true;true;37;0.871690003;74814448;21
adult;5-anonymity;false;true;38;0.65015458;184439272;25
adult;5-anonymity;true;true;38;0.869372743;91334184;27
adult;5-anonymity;false;true;39;0.632625338;183580528;24
adult;5-anonymity;true;true;39;0.870042759;76677808;23
adult;5-anonymity;false;true;40;0.631126676;183043288;27
adult;5-anonymity;true;true;40;0.869000519;76819096;26
adult;5-anonymity;false;true;41;0.646665721;183038336;24
