Dataset;Config;Local;Sorted;Threads;Granularity;Time;TimePrepare;TimeComplete;TimeAnonymize;TimeGlobalTransform;TimePartitionByClass;TimeSuppress;TimeQuality;TimePostprocess
ihis;5-anonymity;false;true;1;0.862409989;169079.3333;2872.666667;165703.6667;161473;601.3333333;0;0;503;0
ihis;5-anonymity;true;true;1;0.9677871;79884;2961;76216;72463;0;0;0;707;0
ihis;5-anonymity;false;true;2;0.793442216;120553.3333;2952.333333;117003.6667;112836.3333;401.6666667;0;0;597.3333333;0
ihis;5-anonymity;true;true;2;0.962366541;43589.33333;2966.666667;39919.66667;36147.33333;0;0;0;703;0
ihis;5-anonymity;false;true;3;0.825430406;90920.66667;3002.666667;87318.33333;83133;302;0;0;599.6666667;0
ihis;5-anonymity;true;true;3;0.958042897;36064.33333;2939.333333;32438.33333;28728;0;0;0;686.6666667;0
ihis;5-anonymity;false;true;4;0.822888764;63205;2954;59646.66667;55493.66667;305.3333333;0;0;604.3333333;0
ihis;5-anonymity;true;true;4;0.956404426;29227;2963;25578.33333;21821.66667;0;0;0;685.3333333;0.333333333
ihis;5-anonymity;false;true;5;0.819684886;59214.66667;2980.666667;55625.33333;51523.66667;235.6666667;0;0;608.6666667;0
ihis;5-anonymity;true;true;5;0.951767018;25012.66667;2948.666667;21362.33333;17585.33333;0;0;0;701.6666667;0
ihis;5-anonymity;false;true;6;0.816881936;55940.33333;2936.666667;52405.66667;48450;202.6666667;0;0;597.6666667;0.333333333
ihis;5-anonymity;true;true;6;0.948526369;23677.66667;2933;20060;16356.66667;0;0;0;684.6666667;0
ihis;5-anonymity;false;true;7;0.814839119;48066.66667;2973.333333;44499.66667;40514.33333;236;0;0;593.6666667;0
ihis;5-anonymity;true;true;7;0.947562868;21368.66667;2935;17750.33333;14050;0;0;0;683.3333333;0
ihis;5-anonymity;false;true;8;0.813434108;42089.33333;2940.333333;38555;34638;202.6666667;0;0;594;0
ihis;5-anonymity;true;true;8;0.944813371;19171.33333;2943.333333;15545.66667;11826.33333;0;0;0;682.3333333;0
ihis;5-anonymity;false;true;9;0.810749244;61297;2949;57755.33333;53837.33333;202.6666667;0;0;592.6666667;0
ihis;5-anonymity;true;true;9;0.942225294;17974.66667;2934.666667;14362.66667;10654.33333;0;0;0;677.3333333;0
ihis;5-anonymity;false;true;10;0.808388939;55842.33333;2948.666667;52303.66667;48349.66667;202.6666667;0;0;589.6666667;0.333333333
ihis;5-anonymity;true;true;10;0.939987247;17781.66667;2957;14145.33333;10413;0;0;0;679.3333333;0
ihis;5-anonymity;false;true;11;0.806377017;36431.33333;2944.333333;32921.66667;29008.66667;202.6666667;0;0;565.3333333;0
ihis;5-anonymity;true;true;11;0.938712608;16752;2935;13155;9454.666667;0;0;0;662;0
ihis;5-anonymity;false;true;12;0.806150837;34466.33333;2940.333333;30959.66667;27038.66667;203.6666667;0;0;566.3333333;0
ihis;5-anonymity;true;true;12;0.938463973;16921;2937.666667;13325.66667;9618.333333;0;0;0;657.6666667;0
ihis;5-anonymity;false;true;13;0.806460234;33486;2945.333333;29974;26050;203.3333333;0;0;566.3333333;0.333333333
ihis;5-anonymity;true;true;13;0.937280563;16760.33333;2941.666667;13164.33333;9452;0;0;0;654.3333333;0
ihis;5-anonymity;false;true;14;0.806273174;31115.66667;2935.333333;27614.66667;23706;203.6666667;0;0;565.6666667;0
ihis;5-anonymity;true;true;14;0.935906749;15241.33333;2934.666667;11657.33333;7950;0;0;0;649.3333333;0
ihis;5-anonymity;false;true;15;0.806194935;30572.66667;2935.666667;27071;23161.33333;203.3333333;0;0;565.6666667;0.333333333
ihis;5-anonymity;true;true;15;0.936546855;15752.66667;2933.666667;12175.66667;8480.666667;0;0;0;643;0.333333333
ihis;5-anonymity;false;true;16;0.806200625;29693;2946;26180.66667;22264.66667;204;0;0;566.3333333;0
ihis;5-anonymity;true;true;16;0.935988187;14730.66667;2942;11151.66667;7445.666667;0;0;0;637;0
ihis;5-anonymity;false;true;17;0.806237611;29470;2934;25967.33333;22065.33333;203.3333333;0;0;568.6666667;0
ihis;5-anonymity;true;true;17;0.935859491;14531.33333;2929.666667;10966;7280.333333;0;0;0;635.6666667;0
ihis;5-anonymity;false;true;18;0.805771737;28990.66667;2929.666667;25496.33333;21600.66667;204.6666667;0;0;564.6666667;0
ihis;5-anonymity;true;true;18;0.935726568;14245.66667;2930.666667;10676.66667;6985;0;0;0;638.3333333;0
ihis;5-anonymity;false;true;19;0.806165774;28270.33333;2937.666667;24767.33333;20867.66667;203.3333333;0;0;565.3333333;0
ihis;5-anonymity;true;true;19;0.935651858;13688.66667;2934.333333;10114.33333;6416.333333;0;0;0;640;0
ihis;5-anonymity;false;true;20;0.805711991;27723.33333;2936;24221.66667;20299.33333;204;0;0;565.6666667;0
ihis;5-anonymity;true;true;20;0.935732735;13888.33333;2941;10311.33333;6610.666667;0;0;0;636;0
ihis;5-anonymity;false;true;21;0.805936037;27064.66667;2934;23565;19667;204;0;0;565.6666667;0
ihis;5-anonymity;true;true;21;0.936037133;13601;2933.333333;10032.66667;6343.666667;0;0;0;635;0
ihis;5-anonymity;false;true;22;0.805699189;26341.33333;2933.666667;22841;18933;204.3333333;0;0;566.6666667;0
ihis;5-anonymity;true;true;22;0.936114982;12935;2931.333333;9367.333333;5678.666667;0;0;0;636.3333333;0
ihis;5-anonymity;false;true;23;0.805817257;26422.33333;2929;22929;19038.66667;204.3333333;0;0;564.3333333;0
ihis;5-anonymity;true;true;23;0.935655042;12709.66667;2934;9139.333333;5452.333333;0;0;0;636.3333333;0
ihis;5-anonymity;false;true;24;0.805498614;25212;2928.666667;21719.33333;17833;204.3333333;0;0;564;0
ihis;5-anonymity;true;true;24;0.936404384;12407.33333;2935.666667;8833.333333;5143.666667;0;0;0;638.3333333;0
ihis;5-anonymity;false;true;25;0.805773871;24718;2930;21223.66667;17337.33333;204.3333333;0;0;564.3333333;0
ihis;5-anonymity;true;true;25;0.935651263;12161;2930;8595.333333;4911.666667;0;0;0;635.6666667;0
ihis;5-anonymity;false;true;26;0.805758223;24028.33333;2934.666667;20528.33333;16628.33333;204.3333333;0;0;565.3333333;0
ihis;5-anonymity;true;true;26;0.936840133;12371.66667;2931.666667;8801;5114;0;0;0;639;0
ihis;5-anonymity;false;true;27;0.805498614;23064.33333;2928.666667;19571;15692;204.3333333;0;0;564.6666667;0
ihis;5-anonymity;true;true;27;0.935305732;12060.66667;2935;8476.666667;4774.666667;0;0;0;649;0
ihis;5-anonymity;false;true;28;0.805242561;22975.33333;2929.333333;19479.33333;15594.66667;205;0;0;566.6666667;0
ihis;5-anonymity;true;true;28;0.935298072;12324;2950.333333;8721.666667;4981.333333;0;0;0;651.6666667;0.333333333
ihis;5-anonymity;false;true;29;0.805160055;22515;2929.666667;19020.33333;15131;205.3333333;0;0;565;0
ihis;5-anonymity;true;true;29;0.935731681;11698.66667;2934.666667;8133.666667;4445;0;0;0;630.3333333;0
ihis;5-anonymity;false;true;30;0.805243272;23305.33333;2943;19794.33333;15858.66667;205.6666667;0;0;568;0
ihis;5-anonymity;true;true;30;0.935857879;12369;2941;8781.333333;5051.666667;0;0;0;646.6666667;0
ihis;5-anonymity;false;true;31;0.805278124;22954.66667;2936.333333;19450.66667;15528.33333;205;0;0;567.6666667;0
ihis;5-anonymity;true;true;31;0.935200508;12323.33333;2939;8741;5013;0;0;0;643.3333333;0
