Dataset;Config;Local;Sorted;Threads;Granularity;Memory;Measurements
ihis;5-anonymity;false;true;1;0.862409989;350908088;194
ihis;5-anonymity;true;true;1;0.9677871;462855696;86
ihis;5-anonymity;false;true;2;0.793442216;422253816;199
ihis;5-anonymity;true;true;2;0.962366541;541568672;43
ihis;5-anonymity;false;true;3;0.825430406;345043768;92
ihis;5-anonymity;true;true;3;0.958042897;440377584;37
ihis;5-anonymity;false;true;4;0.822888764;424470168;61
ihis;5-anonymity;true;true;4;0.956404426;507579760;24
ihis;5-anonymity;false;true;5;0.819684886;507128200;58
ihis;5-anonymity;true;true;5;0.951767018;602283720;23
ihis;5-anonymity;false;true;6;0.816881936;326858240;54
ihis;5-anonymity;true;true;6;0.948526369;397575088;23
ihis;5-anonymity;false;true;7;0.814839119;346106800;47
ihis;5-anonymity;true;true;7;0.947562868;577072504;22
ihis;5-anonymity;false;true;8;0.813434108;343438376;40
ihis;5-anonymity;true;true;8;0.944813371;586445424;22
ihis;5-anonymity;false;true;9;0.810749244;338975112;40
ihis;5-anonymity;true;true;9;0.942225294;386082664;22
ihis;5-anonymity;false;true;10;0.808388939;338476840;73
ihis;5-anonymity;true;true;10;0.939987247;580530568;22
ihis;5-anonymity;false;true;11;0.806377017;351017160;48
ihis;5-anonymity;true;true;11;0.938712608;580590672;29
ihis;5-anonymity;false;true;12;0.806150837;341133576;54
ihis;5-anonymity;true;true;12;0.938463973;566193088;22
ihis;5-anonymity;false;true;13;0.806460234;361181424;72
ihis;5-anonymity;true;true;13;0.937280563;565160672;24
ihis;5-anonymity;false;true;14;0.806273174;362280416;36
ihis;5-anonymity;true;true;14;0.935906749;584849880;15
ihis;5-anonymity;false;true;15;0.806194935;363688680;37
ihis;5-anonymity;true;true;15;0.936546855;564015344;23
ihis;5-anonymity;false;true;16;0.806200625;362990424;48
ihis;5-anonymity;true;true;16;0.935988187;588409216;23
ihis;5-anonymity;false;true;17;0.806237611;359920872;40
ihis;5-anonymity;true;true;17;0.935859491;583666208;23
ihis;5-anonymity;false;true;18;0.805771737;366495440;40
ihis;5-anonymity;true;true;18;0.935726568;599505336;25
ihis;5-anonymity;false;true;19;0.806165774;374302672;50
ihis;5-anonymity;true;true;19;0.935651858;567711864;23
ihis;5-anonymity;false;true;20;0.805711991;384636640;40
ihis;5-anonymity;true;true;20;0.935732735;568056024;25
ihis;5-anonymity;false;true;21;0.805936037;384195104;29
ihis;5-anonymity;true;true;21;0.936037133;573420896;23
ihis;5-anonymity;false;true;22;0.805699189;384697576;34
ihis;5-anonymity;true;true;22;0.936114982;581453528;26
ihis;5-anonymity;false;true;23;0.805817257;379752080;36
ihis;5-anonymity;true;true;23;0.935655042;567198048;18
ihis;5-anonymity;false;true;24;0.805498614;394091968;31
ihis;5-anonymity;true;true;24;0.936404384;582705520;23
ihis;5-anonymity;false;true;25;0.805773871;388128768;37
ihis;5-anonymity;true;true;25;0.935651263;566053120;21
ihis;5-anonymity;false;true;26;0.805758223;398802848;29
ihis;5-anonymity;true;true;26;0.936840133;611946944;24
ihis;5-anonymity;false;true;27;0.805498614;414645800;31
ihis;5-anonymity;true;true;27;0.935305732;602449912;21
ihis;5-anonymity;false;true;28;0.805242561;436601528;23
ihis;5-anonymity;true;true;28;0.935298072;592115096;28
ihis;5-anonymity;false;true;29;0.805160055;401790128;36
ihis;5-anonymity;true;true;29;0.935731681;605079112;22
ihis;5-anonymity;false;true;30;0.805243272;437437568;24
ihis;5-anonymity;true;true;30;0.935857879;599504408;23
ihis;5-anonymity;false;true;31;0.805278124;407056608;29
ihis;5-anonymity;true;true;31;0.935200508;599184072;26
ihis;5-anonymity;false;true;32;0.805307286;441755088;24
ihis;5-anonymity;true;true;32;0.935422824;603078616;25
ihis;5-anonymity;false;true;33;0.804887644;409746248;31
ihis;5-anonymity;true;true;33;0.93491373;602514752;26
ihis;5-anonymity;false;true;34;0.805250385;418563040;25
ihis;5-anonymity;true;true;34;0.935944281;600129656;26
ihis;5-anonymity;false;true;35;0.804923918;446462400;24
ihis;5-anonymity;true;true;35;0.935323241;600501376;28
ihis;5-anonymity;false;true;36;0.804441685;433376968;26
ihis;5-anonymity;true;true;36;0.934943767;579042368;26
ihis;5-anonymity;false;true;37;0.805093908;441183264;32
ihis;5-anonymity;true;true;37;0.935503369;601011960;26
ihis;5-anonymity;false;true;38;0.804893334;437018288;40
ihis;5-anonymity;true;true;38;0.935751792;597738864;26
ihis;5-anonymity;false;true;39;0.804532726;461485512;23
ihis;5-anonymity;true;true;39;0.935263727;603711256;23
ihis;5-anonymity;false;true;40;0.804665731;472401136;23
ihis;5-anonymity;true;true;40;0.935737315;577028088;28
ihis;5-anonymity;false;true;41;0.804592472;469458920;32
ihis;5-anonymity;true;true;41;0.935430377;598485216;26
ihis;5-anonymity;false;true;42;0.804258181;439002360;26
ihis;5-anonymity;true;true;42;0.935153544;588750496;24
ihis;5-anonymity;false;true;43;0.804367714;466682728;22
ihis;5-anonymity;true;true;43;0.934801291;590681368;29
ihis;5-anonymity;false;true;44;0.804377672;457978816;32
ihis;5-anonymity;true;true;44;0.935258591;595757504;24
ihis;5-anonymity;false;true;45;0.804045515;476758184;23
ihis;5-anonymity;true;true;45;0.935332506;605217592;25
ihis;5-anonymity;false;true;46;0.804539127;464256120;26
ihis;5-anonymity;true;true;46;0.935454072;592331840;30
ihis;5-anonymity;false;true;47;0.80434851;460760648;29
ihis;5-anonymity;true;true;47;0.935103357;590865184;28
ihis;5-anonymity;false;true;48;0.803921044;462495912;27
ihis;5-anonymity;true;true;48;0.934708221;587448024;26
ihis;5-anonymity;false;true;49;0.803861299;469726832;30
ihis;5-anonymity;true;true;49;0.9356349;599308968;26
ihis;5-anonymity;false;true;50;0.804268849;640750728;34
ihis;5-anonymity;true;true;50;0.935316457;600423968;27
ihis;5-anonymity;false;true;51;0.804021332;493319088;40
ihis;5-anonymity;true;true;51;0.934960209;589334128;24
ihis;5-anonymity;false;true;52;0.803852764;503966768;23
ihis;5-anonymity;true;true;52;0.934726915;611273792;28
ihis;5-anonymity;false;true;53;0.803913221;509755576;21
ihis;5-anonymity;true;true;53;0.935166897;606052120;29
ihis;5-anonymity;false;true;54;0.803475797;531008720;21
ihis;5-anonymity;true;true;54;0.935173412;626053056;25
ihis;5-anonymity;false;true;55;0.803627295;497506288;22
ihis;5-anonymity;true;true;55;0.935271525;608065608;27
ihis;5-anonymity;false;true;56;0.803449481;527906008;26
ihis;5-anonymity;true;true;56;0.935147361;609553968;27
ihis;5-anonymity;false;true;57;0.803466551;490429496;22
ihis;5-anonymity;true;true;57;0.934978511;600845776;28
ihis;5-anonymity;false;true;58;0.803583908;723210256;24
ihis;5-anonymity;true;true;58;0.934956219;600999856;27
ihis;5-anonymity;false;true;59;0.80316071;503028904;24
ihis;5-anonymity;true;true;59;0.935269551;626952184;26
ihis;5-anonymity;false;true;60;0.80313226;490711528;22
ihis;5-anonymity;true;true;60;0.9352236;727186768;29
ihis;5-anonymity;false;true;61;0.803408228;552486336;21
ihis;5-anonymity;true;true;61;0.934529656;600207168;30
ihis;5-anonymity;false;true;62;0.803282335;519393304;23
