Dataset;Config;Local;Sorted;Threads;Granularity;Time;TimePrepare;TimeComplete;TimeAnonymize;TimeGlobalTransform;TimePartitionByClass;TimeSuppress;TimeQuality;TimePostprocess
adult_5000000;50-anonymity;false;true;1;0.7242395949628393;1240377.0;18332.333333333332;1220351.0;1196650.0;1669.0;0.0;0.0;1693.0;0.6666666666666666
adult_5000000;50-anonymity;true;true;1;0.8351684025536747;1612867.6666666667;19159.0;1591228.0;1568433.0;0.0;0.0;0.0;2480.6666666666665;0.0
adult_7500000;50-anonymity;false;true;1;0.7348466904246364;1453482.3333333333;29988.333333333332;1420375.6666666667;1382880.6666666667;2369.0;0.0;0.0;3118.3333333333335;0.0
adult_7500000;50-anonymity;true;true;1;0.85168242427944;2186450.3333333335;30449.0;2152544.3333333335;2116170.6666666665;0.0;0.0;0.0;3457.0;0.0
adult_10000000;50-anonymity;false;true;1;0.7585170331364127;1669380.6666666667;41455.0;1623645.6666666667;1571849.6666666667;3103.3333333333335;0.0;0.0;4280.0;0.0
adult_10000000;50-anonymity;true;true;1;0.8611555580248317;3037813.3333333335;41973.666666666664;2991156.0;2941437.0;0.0;0.0;0.0;4683.666666666667;0.0
adult_12500000;50-anonymity;false;true;1;0.7670173900135732;1855781.0;52604.666666666664;1797915.0;1732539.0;4004.0;0.0;0.0;5261.0;0.3333333333333333
adult_12500000;50-anonymity;true;true;1;0.8670921329806783;3485124.6666666665;52905.0;3426293.0;3363846.6666666665;0.0;0.0;0.0;5926.333333333333;0.3333333333333333
adult_15000000;50-anonymity;false;true;1;0.7723732789766805;2062909.6666666667;64771.666666666664;1991739.6666666667;1911237.6666666667;4678.333333333333;0.0;0.0;6398.333333333333;0.0
adult_15000000;50-anonymity;true;true;1;0.8743172012826012;4203093.0;64825.666666666664;4130987.3333333335;4054890.0;0.0;0.0;0.0;7280.0;0.0
adult_17500000;50-anonymity;false;true;1;0.7779857502792553;2262345.6666666665;76753.66666666667;2178055.3333333335;2082472.0;5772.666666666667;0.0;0.0;7536.666666666667;0.0
adult_17500000;50-anonymity;true;true;1;0.8800785870810067;4878369.666666667;77004.33333333333;4792784.0;4702532.666666667;0.0;0.0;0.0;8581.333333333334;0.0
adult_20000000;50-anonymity;false;true;1;0.7823950171882638;2483011.3333333335;88496.0;2385974.0;2275766.6666666665;6072.333333333333;0.0;0.0;8541.333333333334;0.0
adult_20000000;50-anonymity;true;true;1;0.8837547879944948;5116826.666666667;88364.66666666667;5018534.0;4915287.666666667;0.0;0.0;0.0;9928.0;0.0
adult_22500000;50-anonymity;false;true;1;0.7855151349427073;2564735.0;101062.0;2454047.3333333335;2328474.6666666665;7474.333333333333;0.0;0.0;9625.666666666666;0.0
adult_22500000;50-anonymity;true;true;1;0.8873304101638452;5446695.0;101500.0;5334023.0;5215125.0;0.0;0.0;0.0;11172.0;0.0
adult_25000000;50-anonymity;false;true;1;0.8002019452717691;3079361.6666666665;113592.33333333333;2955326.3333333335;2815573.0;7843.333333333333;0.0;0.0;10443.0;0.0
adult_25000000;50-anonymity;true;true;1;0.8896473605111629;7053340.0;113756.33333333333;6926605.0;6795319.333333333;0.0;0.0;0.0;12978.666666666666;0.0
adult_35000000;50-anonymity;false;true;1;0.8013991868934397;3510316.6666666665;166048.0;3329054.0;3123383.6666666665;13538.0;0.0;0.0;15214.666666666666;0.0
adult_35000000;50-anonymity;true;true;1;0.9014363588242662;7680795.666666667;164183.0;7498443.333333333;7308792.0;0.0;0.0;0.0;18169.333333333332;0.0
adult_45000000;50-anonymity;false;true;1;0.8294037174173825;4331702.0;216188.66666666666;4096048.0;3829876.6666666665;16895.666666666668;0.0;0.0;19465.333333333332;0.0
adult_45000000;50-anonymity;true;true;1;0.9087809290882684;8390732.666666666;216552.33333333334;8150291.0;7900490.666666667;0.0;0.0;0.0;23889.333333333332;0.0
adult_55000000;50-anonymity;false;true;1;0.8378641243150856;4161255.0;269631.0;3867773.3333333335;3538420.0;19404.333333333332;0.0;0.0;23850.666666666668;0.0
adult_55000000;50-anonymity;true;true;1;0.9142886105963223;9747982.666666666;270361.6666666667;9448744.666666666;9138275.0;0.0;0.0;0.0;28876.333333333332;0.0
adult_65000000;50-anonymity;false;true;1;0.843471351545722;3959580.3333333335;323102.0;3608346.0;3215451.3333333335;22739.333333333332;0.0;0.0;28132.333333333332;0.0
adult_65000000;50-anonymity;true;true;1;0.9193430340272841;1.0377451666666666E7;323239.0;1.0020197666666666E7;9649435.333333334;0.0;0.0;0.0;34015.0;0.0
adult_75000000;50-anonymity;false;true;1;0.847419278519565;5042727.333333333;378770.3333333333;4631778.0;4173952.0;24732.0;0.0;0.0;32179.0;0.0
adult_75000000;50-anonymity;true;true;1;0.9232988341554916;1.1443835666666666E7;378355.6666666667;1.1026748666666666E7;1.0595419333333334E7;0.0;0.0;0.0;38731.333333333336;0.0
adult_85000000;50-anonymity;false;true;1;0.8503444797033817;4777781.666666667;434660.0;4306696.666666667;3781221.6666666665;30653.666666666668;0.0;0.0;36425.0;0.0
adult_85000000;50-anonymity;true;true;1;0.9232201086081199;1.0930539666666666E7;434171.6666666667;1.0452824E7;9957549.0;0.0;0.0;0.0;43544.0;0.0
adult_5000000;50-anonymity;false;true;2;0.7206004343644953;666400.3333333334;19345.0;644996.6666666666;621086.3333333334;902.0;0.0;0.0;2058.6666666666665;0.0
